20100121084445R:A1503,0 15,  00001003, 0, 0
20100121084457R:A1501,0 15,  00001026,0, 0
20100121084457R:A1510,0 15,  00001026, 1, 0, 1, 0
20100121084506R:A1510,0 15,  00001026, 9, 0, 1, 0
20100121084510S:A1500,0015,  00001293,1, 0,00
20100121084520R:A1501,0 15,  00001106,0, 0
20100121084520R:A1510,0 15,  00001106, 1, 0, 2, 0
20100121084529R:A1510,0 15,  00001106, 9, 0, 2, 0
20100121084531S:A1503,0015,  00001003,01,00
20100121084537R:U1500,0 15,  00001003, 0
20100121084537S:U1500,0 15,  00001003,00
20100121084539R:A1504,0 15,  00001003, 0, 0
20100121084540R:A1503,0 15,  00001026, 0, 0
20100121084552R:A1501,0 15,  00001145,0, 0
20100121084552R:A1510,0 15,  00001145, 1, 0, 2, 0
20100121084601R:A1510,0 15,  00001145, 9, 0, 2, 0
20100121084613R:A1501,0 15,  00001260,0, 0
20100121084613R:A1510,0 15,  00001260, 1, 0, 3, 0
20100121084622R:A1510,0 15,  00001260, 9, 0, 3, 0
20100121084634R:A1501,0 15,  00000040,0, 0
20100121084634R:A1510,0 15,  00000040, 1, 0, 4, 0
20100121084639S:A1503,0015,  00001026,01,00
20100121084643R:A1510,0 15,  00000040, 9, 0, 4, 0
20100121084645R:U1500,0 15,  00001026, 0
20100121084646S:U1500,0 15,  00001026,00
20100121084654R:A1504,0 15,  00001026, 0, 0
20100121084654R:A1503,0 15,  00001106, 0, 0
20100121084703R:A1501,0 15,  00000147,0, 0
20100121084704R:A1510,0 15,  00000147, 1, 0, 4, 0
20100121084713R:A1510,0 15,  00000147, 9, 0, 4, 0
20100121084720R:A1501,0 15,  00000033,0, 0
20100121084720R:A1510,0 15,  00000033, 1, 0, 5, 0
20100121084729R:A1510,0 15,  00000033, 9, 0, 5, 0
20100121084737R:A1501,0 15,  00000107,0, 0
20100121084737R:A1510,0 15,  00000107, 1, 0, 6, 0
20100121084739S:A1503,0015,  00001106,01,00
20100121084746R:A1510,0 15,  00000107, 9, 0, 6, 0
20100121084748R:U1500,0 15,  00001106, 0
20100121084748S:U1500,0 15,  00001106,00
20100121084755R:A1504,0 15,  00001106, 0, 0
